date,retail_index,flags,year,month,month_name,quarter,day_of_week,rolling_12m_avg,ema_12m,yoy_growth_pct,mom_growth_pct
1994-01-01,77.0,,1994,1,January,1,Saturday,77.0,77.0,,
1994-02-01,74.0,,1994,2,February,1,Tuesday,75.5,76.53846153846153,,-3.8961038961038974
1994-03-01,85.5,,1994,3,March,1,Tuesday,78.83333333333333,77.9171597633136,,15.540540540540547
1994-04-01,82.5,,1994,4,April,2,Friday,79.75,78.6222121074192,,-3.508771929824561
1994-05-01,81.3,,1994,5,May,2,Sunday,80.06,79.03417947550855,,-1.4545454545454528
1994-06-01,78.5,,1994,6,June,2,Wednesday,79.8,78.951998017738,,-3.444034440344401
1994-07-01,80.5,,1994,7,July,3,Friday,79.89999999999999,79.19015216885524,,2.547770700636942
1994-08-01,79.4,,1994,8,August,3,Monday,79.8375,79.22243645056982,,-1.3664596273291862
1994-09-01,82.4,,1994,9,September,3,Thursday,80.12222222222222,79.71129238125138,,3.778337531486154
1994-10-01,86.8,,1994,10,October,4,Saturday,80.78999999999999,80.80186278413578,,5.339805825242716
1994-11-01,89.3,,1994,11,November,4,Tuesday,81.56363636363636,82.10926850965335,,2.880184331797242
1994-12-01,108.7,,1994,12,December,4,Thursday,83.825,86.20015027739899,,21.724524076147823
1995-01-01,77.0,,1995,1,January,1,Sunday,83.825,84.78474254241453,0.0,-29.16283348666053
1995-02-01,75.9,,1995,2,February,1,Wednesday,83.98333333333333,83.41785907435076,2.567567567567574,-1.4285714285714235
1995-03-01,87.2,,1995,3,March,1,Wednesday,84.125,83.99972690906603,1.9883040935672505,14.88801054018445
1995-04-01,83.8,,1995,4,April,2,Saturday,84.23333333333333,83.96899969228664,1.5757575757575637,-3.899082568807344
1995-05-01,84.9,,1995,5,May,2,Monday,84.53333333333335,84.11223050885793,4.428044280442811,1.312649164677815
1995-06-01,81.4,,1995,6,June,2,Thursday,84.775,83.69496427672595,3.694267515923566,-4.122497055359242
1995-07-01,83.0,,1995,7,July,3,Saturday,84.98333333333333,83.58804669569119,3.105590062111796,1.96560196560196
1995-08-01,80.7,,1995,8,August,3,Tuesday,85.09166666666667,83.143731819431,1.6372795969773255,-2.7710843373493943
1995-09-01,83.0,,1995,9,September,3,Friday,85.14166666666667,83.12161923182623,0.7281553398058138,2.850061957868655
1995-10-01,86.6,,1995,10,October,4,Sunday,85.125,83.6567547346222,-0.2304147465437833,4.337349397590362
1995-11-01,90.8,,1995,11,November,4,Wednesday,85.25,84.75571554468033,1.6797312430011146,4.849884526558901
1995-12-01,108.4,,1995,12,December,4,Friday,85.22500000000001,88.39329776857566,-0.2759889604415755,19.38325991189429
1996-01-01,78.4,,1996,1,January,1,Monday,85.34166666666668,86.85586734264095,1.81818181818183,-27.67527675276753
1996-02-01,74.8,,1996,2,February,1,Thursday,85.25,85.00111852069618,-1.449275362318847,-4.591836734693889
1996-03-01,86.1,,1996,3,March,1,Friday,85.15833333333333,85.17017720981984,-1.2614678899082632,15.10695187165776
1996-04-01,85.7,,1996,4,April,2,Monday,85.31666666666666,85.25168840830909,2.2673031026253065,-0.464576074332157
1996-05-01,83.6,,1996,5,May,2,Wednesday,85.20833333333333,84.99758249933846,-1.531213191990588,-2.450408401400239
