date,year,quarter,month,month_name,month_short,year_month,is_month_start,is_month_end
1994-01-01,1994,1,1,January,Jan,1994-01,True,True
1994-02-01,1994,1,2,February,Feb,1994-02,True,True
1994-03-01,1994,1,3,March,Mar,1994-03,True,True
1994-04-01,1994,2,4,April,Apr,1994-04,True,True
1994-05-01,1994,2,5,May,May,1994-05,True,True
1994-06-01,1994,2,6,June,Jun,1994-06,True,True
1994-07-01,1994,3,7,July,Jul,1994-07,True,True
1994-08-01,1994,3,8,August,Aug,1994-08,True,True
1994-09-01,1994,3,9,September,Sep,1994-09,True,True
1994-10-01,1994,4,10,October,Oct,1994-10,True,True
1994-11-01,1994,4,11,November,Nov,1994-11,True,True
1994-12-01,1994,4,12,December,Dec,1994-12,True,True
1995-01-01,1995,1,1,January,Jan,1995-01,True,True
1995-02-01,1995,1,2,February,Feb,1995-02,True,True
1995-03-01,1995,1,3,March,Mar,1995-03,True,True
1995-04-01,1995,2,4,April,Apr,1995-04,True,True
1995-05-01,1995,2,5,May,May,1995-05,True,True
1995-06-01,1995,2,6,June,Jun,1995-06,True,True
1995-07-01,1995,3,7,July,Jul,1995-07,True,True
1995-08-01,1995,3,8,August,Aug,1995-08,True,True
1995-09-01,1995,3,9,September,Sep,1995-09,True,True
1995-10-01,1995,4,10,October,Oct,1995-10,True,True
1995-11-01,1995,4,11,November,Nov,1995-11,True,True
1995-12-01,1995,4,12,December,Dec,1995-12,True,True
1996-01-01,1996,1,1,January,Jan,1996-01,True,True
1996-02-01,1996,1,2,February,Feb,1996-02,True,True
1996-03-01,1996,1,3,March,Mar,1996-03,True,True
1996-04-01,1996,2,4,April,Apr,1996-04,True,True
1996-05-01,1996,2,5,May,May,1996-05,True,True
1996-06-01,1996,2,6,June,Jun,1996-06,True,True
1996-07-01,1996,3,7,July,Jul,1996-07,True,True
1996-08-01,1996,3,8,August,Aug,1996-08,True,True
1996-09-01,1996,3,9,September,Sep,1996-09,True,True
1996-10-01,1996,4,10,October,Oct,1996-10,True,True
1996-11-01,1996,4,11,November,Nov,1996-11,True,True
1996-12-01,1996,4,12,December,Dec,1996-12,True,True
1997-01-01,1997,1,1,January,Jan,1997-01,True,True
1997-02-01,1997,1,2,February,Feb,1997-02,True,True
1997-03-01,1997,1,3,March,Mar,1997-03,True,True
1997-04-01,1997,2,4,April,Apr,1997-04,True,True
1997-05-01,1997,2,5,May,May,1997-05,True,True
1997-06-01,1997,2,6,June,Jun,1997-06,True,True
1997-07-01,1997,3,7,July,Jul,1997-07,True,True
1997-08-01,1997,3,8,August,Aug,1997-08,True,True
1997-09-01,1997,3,9,September,Sep,1997-09,True,True
1997-10-01,1997,4,10,October,Oct,1997-10,True,True
1997-11-01,1997,4,11,November,Nov,1997-11,True,True
1997-12-01,1997,4,12,December,Dec,1997-12,True,True
1998-01-01,1998,1,1,January,Jan,1998-01,True,True
1998-02-01,1998,1,2,February,Feb,1998-02,True,True
1998-03-01,1998,1,3,March,Mar,1998-03,True,True
1998-04-01,1998,2,4,April,Apr,1998-04,True,True
1998-05-01,1998,2,5,May,May,1998-05,True,True
1998-06-01,1998,2,6,June,Jun,1998-06,True,True
1998-07-01,1998,3,7,July,Jul,1998-07,True,True
1998-08-01,1998,3,8,August,Aug,1998-08,True,True
1998-09-01,1998,3,9,September,Sep,1998-09,True,True
1998-10-01,1998,4,10,October,Oct,1998-10,True,True
1998-11-01,1998,4,11,November,Nov,1998-11,True,True
1998-12-01,1998,4,12,December,Dec,1998-12,True,True
1999-01-01,1999,1,1,January,Jan,1999-01,True,True
1999-02-01,1999,1,2,February,Feb,1999-02,True,True
1999-03-01,1999,1,3,March,Mar,1999-03,True,True
1999-04-01,1999,2,4,April,Apr,1999-04,True,True
1999-05-01,1999,2,5,May,May,1999-05,True,True
1999-06-01,1999,2,6,June,Jun,1999-06,True,True
1999-07-01,1999,3,7,July,Jul,1999-07,True,True
1999-08-01,1999,3,8,August,Aug,1999-08,True,True
1999-09-01,1999,3,9,September,Sep,1999-09,True,True
1999-10-01,1999,4,10,October,Oct,1999-10,True,True
1999-11-01,1999,4,11,November,Nov,1999-11,True,True
1999-12-01,1999,4,12,December,Dec,1999-12,True,True
2000-01-01,2000,1,1,January,Jan,2000-01,True,True
2000-02-01,2000,1,2,February,Feb,2000-02,True,True
2000-03-01,2000,1,3,March,Mar,2000-03,True,True
2000-04-01,2000,2,4,April,Apr,2000-04,True,True
2000-05-01,2000,2,5,May,May,2000-05,True,True
2000-06-01,2000,2,6,June,Jun,2000-06,True,True
2000-07-01,2000,3,7,July,Jul,2000-07,True,True
2000-08-01,2000,3,8,August,Aug,2000-08,True,True
2000-09-01,2000,3,9,September,Sep,2000-09,True,True
2000-10-01,2000,4,10,October,Oct,2000-10,True,True
2000-11-01,2000,4,11,November,Nov,2000-11,True,True
2000-12-01,2000,4,12,December,Dec,2000-12,True,True
2001-01-01,2001,1,1,January,Jan,2001-01,True,True
2001-02-01,2001,1,2,February,Feb,2001-02,True,True
2001-03-01,2001,1,3,March,Mar,2001-03,True,True
2001-04-01,2001,2,4,April,Apr,2001-04,True,True
2001-05-01,2001,2,5,May,May,2001-05,True,True
2001-06-01,2001,2,6,June,Jun,2001-06,True,True
2001-07-01,2001,3,7,July,Jul,2001-07,True,True
2001-08-01,2001,3,8,August,Aug,2001-08,True,True
2001-09-01,2001,3,9,September,Sep,2001-09,True,True
2001-10-01,2001,4,10,October,Oct,2001-10,True,True
2001-11-01,2001,4,11,November,Nov,2001-11,True,True
2001-12-01,2001,4,12,December,Dec,2001-12,True,True
2002-01-01,2002,1,1,January,Jan,2002-01,True,True
2002-02-01,2002,1,2,February,Feb,2002-02,True,True
